location,density,rate
Laos,29.715000000000128,5.3410641200550000
Libya,3.6230000000000384,8.4106351550960000
Liberia,49.12700000000036,0.6783004552350000
Jamaica,266.8789999999946,2.9112426035500000
Latvia,31.211999999999744,16.6787204450630000
Kyrgyzstan,32.3329999999996,94.3032786885250000
Kenya,87.32399999999954,5.7500000000000000
Lebanon,594.5609999999906,15.1123595505620000
Japan,347.7779999999958,141.1975642760490000
Kazakhstan,6.6809999999999095,133.0402414486920000
Macao,20546.76600000018,0.0993303571430000
Malaysia,96.25400000000072,43.3844155844160000
Malawi,197.5190000000002,4.4610169491530000
Maldives,1454.4329999999804,4.0952380952380000
Montserrat,"",0.2043422733080000
Madagascar,43.95100000000033,3.5581395348840000
Myanmar,81.72099999999936,14.9430379746840000
Malta,1454.0370000000096,2.2270916334660000
Marshall Islands,295.1499999999961,0.0210696920580000
Mauritania,4.289000000000087,1.8237951807230000
Monaco,19347.5,0.7365439093480000
Morocco,80.08000000000132,23.1074856046070000
Mexico,66.4440000000013,159.0376266280750000
Montenegro,46.27999999999945,4.4848484848480000
Mongolia,1.9800000000000146,40.9266666666670000
Mozambique,37.72799999999939,7.6342592592590000
Luxembourg,231.44699999999506,7.9093525179860000
Micronesia (country),150.77700000000075,0.0470347648260000
Mauritius,622.9619999999999,44.2566371681420000
Moldova,123.65499999999908,8.9970972423800000
Mali,15.195999999999922,1.8580152671760000
Paraguay,17.144000000000137,37.6026200873360000
Palau,47.23699999999965,2.3333333333330000
New Caledonia,15.342000000000112,8.4249291784700000
Nicaragua,51.667000000000726,0.9230769230770000
Peru,25.129000000000474,86.6909620991250000
Nigeria,209.5879999999987,9.2880844645550000
