location,death
Saint Helena,""
Palau,0.033014196104324864
Montserrat,0.16061031921300944
San Marino,0.33813584239929434
Qatar,0.02320404132503266
Madagascar,0.004935390878912207
New Caledonia,0.10859872942956175
Myanmar,0.03545961215132339
Nicaragua,0.0036255783207723704
Peru,0.6405537986802227
Sierra Leone,0.0015353732179076598
Malta,0.14706452237938383
Sao Tome and Principe,0.033129779194498665
Marshall Islands,""
Nigeria,0.001489115192350542
Norway,0.062481372226325646
Saint Pierre and Miquelon,0.017328019407381736
Mauritania,0.02064873898192921
Niger,0.0012335455960233673
Monaco,0.1492914979757085
Morocco,0.043261727533751904
Panama,0.19134636956552004
Saint Kitts and Nevis,0.08217233780301049
Oman,0.08860170127519061
North Korea,2.317761644869084E-5
Palestine,0.10841019568978524
Mexico,0.2503296811615831
Montenegro,0.43451885276832614
Saint Vincent and the Grenadines,0.10245441228014991
Mongolia,0.063647356997695
Saudi Arabia,0.02609174469761193
Namibia,0.15711092147004804
Saint Lucia,0.20878411722279164
Seychelles,0.16884035992316246
North Macedonia,0.448032589077147
Samoa,0.014489567511391797
Mozambique,0.006883676592188333
Luxembourg,0.17280652285551357
New Zealand,0.031757798021965156
Poland,0.3081011720506919
Micronesia (country),""
Portugal,0.238898347282921
Papua New Guinea,0.00725956395462005
Romania,0.34376716744637065
Nepal,0.040276435454585896
Serbia,0.23502713435562617
Pakistan,0.01350932930356297
Mauritius,0.07915641873745512
Moldova,0.2875230645932866
Mali,0.003533802039190776
Netherlands,0.13096649910610167
Yemen,0.007048064817533014
Sweden,0.18842224811639266
Tonga,0.011240270141159059
Turkey,0.11647908411601432
Sudan,0.011026656786912819
Turks and Caicos Islands,0.09177586294804467
Sri Lanka,0.07687009711821564
Taiwan,0.0319597461463857
Togo,0.0032435969626722146
Slovakia,0.36995781086273943
Vatican,""
United States,0.3066430689768046
Somalia,0.008319325162749473
Tajikistan,0.0012821005936125749
Suriname,0.23251176921855093
Spain,0.23260136744275262
Thailand,0.044080954905990836
Ukraine,0.2587237686711948
Venezuela,0.02000003692743275
South Korea,0.04806726743246842
Uruguay,0.2109233686220859
Zimbabwe,0.03686679669876521
Tunisia,0.2408559686669408
Syria,0.017235998131727236
Trinidad and Tobago,0.2869513044990145
Uganda,0.00769679132504772
Wallis and Futuna,0.06309716964124752
Switzerland,0.1588206015631472
Zambia,0.021183196756856804
South Sudan,0.0012125070630732994
United Arab Emirates,0.02326074160328765
Timor,0.009896753790345084
Uzbekistan,0.004823819354006016
Slovenia,0.32038900805927484
Tanzania,0.0013675144074390964
Solomon Islands,0.021733108899921163
South Africa,0.1696745724442605
Vanuatu,0.004452019945049354
United Kingdom,0.2652186691259214
Vietnam,0.043892751333521565
