location,Without_Vaccine_newcases_over_time,With_Vaccine_newcases_over_time
Montenegro,209.95014662756597,356.19354838709677
Mongolia,14.181818181818182,2047.4266666666667
Mozambique,178.1196581196581,362.77777777777777
Luxembourg,152.7411003236246,389.3757225433526
Mauritius,1.7707006369426752,459.16089613034626
Moldova,531.6391184573002,720.8141592920354
Mali,26.948787061994608,49.412177985948475
Paraguay,432.4589235127479,1075.6004319654428
New Caledonia,0.14953271028037382,128.66666666666666
Nicaragua,14.775862068965518,20.539473684210527
Peru,3509.6129032258063,5013.960084033613
Nigeria,424.989218328841,217.1898454746137
Norway,131.09574468085106,2562.7009174311925
Niger,13.344919786096257,9.426573426573427
Panama,955.2735849056604,1117.9254032258063
Oman,416.06148867313914,502.71676300578036
Palestine,613.9769820971867,978.07962529274
Namibia,112.65945945945946,284.0068337129841
North Macedonia,272.9859943977591,457.3134328358209
