location,max(total_cases),max(total_tests),percent_positive
Denmark,3188252,64649913,4.931564254386545
Congo,24421,395040,6.1819056298096395
Cyprus,530510,29501771,1.7982310282321694
Cote d'Ivoire,84079,1540831,5.456730816033685
Cook Islands,5794,"",""
Dominican Republic,616024,3444251,17.885572218749445
Costa Rica,904934,3677525,24.607147470105573
Colombia,6198848,35241195,17.589778099181938
Democratic Republic of Congo,91393,1045120,8.744737446417636
Eritrea,9824,23693,41.46372346262609
Fiji,66126,558519,11.839525602530978
Germany,29025760,131286804,22.108665239501146
France,32176376,278234000,11.564501822207207
Greece,3843142,84483362,4.548992735398007
Equatorial Guinea,16383,484554,3.3810473136121053
Finland,1158485,11038890,10.494578712171242
Ghana,166816,2465238,6.766730027689011
Gabon,48157,1599902,3.0099968623078164
